shRNA_ID,Median_CV,Lower_CI,Upper_CI,Error_Lower,Error_Upper
NT_34,0.06876138816302951,0.021891255234650808,0.08826443907273138,0.0468701329283787,0.019503050909701863
NT_35,0.03637583823502031,0.01808806415314827,0.056547971387493075,0.01828777408187204,0.020172133152472765
NT_36,0.023744835251386095,0.017931109612640838,0.04497746390501916,0.005813725638745257,0.021232628653633064
NT_37,0.03816325743697097,0.030677332799533708,0.045127386284820825,0.007485924637437264,0.006964128847849853
NT_38,0.0113543223483784,0.0037811659065991546,0.021072520081205852,0.007573156441779246,0.009718197732827451
NT_39,0.0227037808418138,0.012823545459033452,0.042446069725528356,0.009880235382780347,0.019742288883714557
NT_41,0.019715303972790362,0.013403025281439019,0.048558639535864985,0.0063122786913513435,0.028843335563074623
NT_42,0.042676762257104206,0.011094809321284975,0.05764765463593278,0.03158195293581923,0.014970892378828572
NT_43,0.045064723526778705,0.01649078287148298,0.07671531449592352,0.028573940655295726,0.03165059096914481
NT_44,0.03703608788162408,0.033193584558351266,0.06573714862728683,0.0038425033232728154,0.028701060745662747
NT_45,0.045823003792528655,0.013128572887767158,0.06442670948891303,0.0326944309047615,0.01860370569638438
NT_46,0.053257001280338626,0.028833161417158772,0.07911896407642281,0.024423839863179853,0.025861962796084187
NT_47,0.06218566632440256,0.047218992917579715,0.0951869159680697,0.014966673406822846,0.033001249643667144
NT_50,0.039687839418205056,0.013668828398780199,0.09830462854300259,0.02601901101942486,0.058616789124797536
NT_51,0.04415729374867651,0.010635398770389978,0.05281507457575048,0.03352189497828653,0.008657780827073969
NT_53,0.049900355354670495,0.0406149999013039,0.0721077179884505,0.009285355453366596,0.02220736263378001
NT_54,0.03439852900001149,0.012096558378110267,0.06777548029166448,0.022301970621901222,0.033376951291652995
NT_56,0.013246682563542167,0.004654532444413315,0.052068075176677275,0.008592150119128852,0.03882139261313511
NT_57,0.04515609494678611,0.026911278029778996,0.046062989205104175,0.018244816917007113,0.0009068942583180667
NT_58,0.018420389515465384,0.012486005189293246,0.02842656489908701,0.005934384326172139,0.010006175383621627
NT_59,0.04331742716244653,0.024542722709668747,0.07620806253063804,0.01877470445277778,0.03289063536819151
NT_60,0.04538705420346219,0.012238454653335637,0.06582277038706198,0.03314859955012655,0.020435716183599795
NT_61,0.03773109088733663,0.018941317852886806,0.050048869590589004,0.018789773034449824,0.012317778703252374
NT_62,0.021959619487525346,0.012146654236045594,0.03523829045150938,0.009812965251479752,0.01327867096398403
NT_63,0.023928158456430402,0.010716672136003512,0.05580377684350382,0.01321148632042689,0.03187561838707342
NT_64,0.032991645042587225,0.013753022613460363,0.04628177860618652,0.019238622429126863,0.013290133563599295
NT_65,0.01649861629730913,0.007018265178483409,0.06391862343674475,0.009480351118825722,0.047420007139435616
NT_66,0.024547025990318605,0.005670645285384206,0.0541222189918089,0.0188763807049344,0.029575193001490294
NT_67,0.05098783163320431,0.01858724349873827,0.061573701195892575,0.03240058813446604,0.010585869562688262
NT_68,0.026148468610203493,0.010947075054818824,0.06774210456089899,0.01520139355538467,0.0415936359506955
NT_69,0.029850498964155547,0.02295346644463888,0.0431966028540705,0.006897032519516667,0.013346103889914956
NT_70,0.028168151177682923,0.013146168721157396,0.059732121495297975,0.015021982456525527,0.031563970317615056
NT_72,0.038066000147969875,0.014331487720933477,0.04419528599024096,0.0237345124270364,0.006129285842271084
NT_73,0.05137395727387658,0.03321579292989163,0.07219341325550246,0.01815816434398495,0.020819455981625885
NT_75,0.04543082463779256,0.02252837259014905,0.07010984917039727,0.022902452047643514,0.024679024532604704
NT_76,0.030665703597586094,0.00698957354683565,0.07124169424333443,0.023676130050750442,0.040575990645748336
NT_77,0.027043453729476023,0.009542232685752128,0.03715928344415701,0.017501221043723897,0.010115829714680988
NT_78,0.025963773101914465,0.0160499042215653,0.042155318881602816,0.009913868880349164,0.01619154577968835
NT_80,0.027534926440018016,0.005340594447937668,0.045789579941576695,0.02219433199208035,0.01825465350155868
NT_81,0.019992669914043967,0.00629203988066277,0.058857439101483076,0.013700630033381195,0.03886476918743911
NT_82,0.0164761221778517,0.012352879706051412,0.022504187308568478,0.004123242471800289,0.006028065130716777
NT_83,0.04084232929872282,0.037355227616938144,0.05757621424882602,0.0034871016817846767,0.016733884950103202
NT_84,0.03494145471103998,0.020539990223271215,0.060759658157628176,0.014401464487768766,0.025818203446588195
NT_85,0.04765055635234218,0.035991957459782196,0.07441224821191564,0.011658598892559983,0.026761691859573458
NT_86,0.04058401732941804,0.01973778782952838,0.05802291087416787,0.020846229499889662,0.017438893544749826
NT_87,0.030047116304165525,0.013163119679293974,0.04647286579866963,0.01688399662487155,0.016425749494504108
NT_88,0.03672130066446341,0.01121530158549787,0.05436229642094446,0.025505999078965544,0.017640995756481044
NT_89,0.027244200054097317,0.007440069485425322,0.05383643709212663,0.019804130568671995,0.02659223703802931
NT_90,0.05238285025154594,0.013586771420774852,0.058937111075906386,0.03879607883077109,0.006554260824360447
NT_91,0.05009243665052772,0.01981202423895741,0.08230698188813881,0.03028041241157031,0.032214545237611095
NT_92,0.04298041710339812,0.02324863666777019,0.06734588191282556,0.019731780435627934,0.024365464809427438
NT_93,0.026764392132390614,0.00785675017786799,0.04564378439503808,0.018907641954522623,0.018879392262647465
NT_94,0.02863558026290024,0.01258129145345996,0.04556299848622653,0.01605428880944028,0.01692741822332629
NT_95,0.05561342998254881,0.036925900849875765,0.0735253203127186,0.018687529132673047,0.017911890330169794
NT_96,0.03179542534664455,0.014230339902916011,0.061475098680043326,0.017565085443728538,0.029679673333398778
NT_97,0.05194984227563707,0.03384835092499838,0.06375508190347895,0.01810149135063869,0.011805239627841878
NT_98,0.03324623887306566,0.012815943440702252,0.04894297801913855,0.020430295432363407,0.01569673914607289
NT_99,0.04874947664156646,0.01634703081286594,0.06828404306267448,0.03240244582870052,0.01953456642110802
