shRNA_ID,Target_Gene,RTN_A,RTN_B,Predictive_Effect,Timepoint,Dosage,Gene_Category,Sort_Order
Axl_07,Axl,0.005650062704691157,0.0057849911650018,-0.0340478772891282,T7,3.5nM,Other,4
Axl_08,Axl,0.005130697624130503,0.005213525891024296,-0.0231043893538292,T7,3.5nM,Other,4
Axl_09,Axl,0.005136274029906049,0.005433942929996973,-0.0812772387153911,T7,3.5nM,Other,4
Axl_10,Axl,0.006383702761762627,0.005679408086192791,0.16865289990702212,T7,3.5nM,Other,4
Axl_01,Axl,0.005466318367023684,0.005790234733669788,-0.08305234849938337,T10,0.6nM,Other,4
Axl_02,Axl,0.005677049856521957,0.005803669574513426,-0.03182397191510945,T10,0.6nM,Other,4
Axl_03,Axl,0.00512447800915028,0.004803622422907928,0.09328229998739104,T10,0.6nM,Other,4
Axl_04,Axl,0.005290840783849293,0.005171999862820853,0.03277476679932592,T10,0.6nM,Other,4
Axl_05,Axl,0.005189049307895372,0.005295551267742301,-0.029310631961367906,T10,0.6nM,Other,4
Axl_06,Axl,0.006209654506479471,0.005193712933326745,0.2577467261917216,T10,0.6nM,Other,4
Axl_07,Axl,0.005493983952756537,0.006004492764045577,-0.12818968138299552,T10,0.6nM,Other,4
Axl_08,Axl,0.004836049192257552,0.00471818197344676,0.0355978574361119,T10,0.6nM,Other,4
Axl_09,Axl,0.0053771417383609845,0.005779867671486474,-0.10419696226426985,T10,0.6nM,Other,4
Axl_10,Axl,0.006426330703091038,0.006279815250236772,0.03327310852501893,T10,0.6nM,Other,4
Axl_01,Axl,0.00582882447044371,0.005790234733669788,0.009583121249406574,T10,3.5nM,Other,4
Axl_02,Axl,0.005718326472012474,0.005803669574513426,-0.021372394503649833,T10,3.5nM,Other,4
Axl_03,Axl,0.004627998845631748,0.004803622422907928,-0.05373425136281923,T10,3.5nM,Other,4
Axl_04,Axl,0.00585294096344558,0.005171999862820853,0.17843948990168942,T10,3.5nM,Other,4
Axl_05,Axl,0.005346504901978935,0.005295551267742301,0.013815209390724639,T10,3.5nM,Other,4
