shRNA_ID,Target_Gene,RTN_A,RTN_B,Prognostic_Effect,Gene_Category,Sort_Order
Chek1_09,Chek1,0.9250327537359824,1.0,-0.11242364513313763,Other,4
Chek1_10,Chek1,0.9047187314428565,1.0,-0.14445875332505254,Other,4
Chek2_01,Chek2,0.9718893367486795,1.0,-0.04113604279800409,Other,4
Chek2_02,Chek2,0.972410749099553,1.0,-0.04036225377606053,Other,4
Chek2_03,Chek2,0.9275836451335944,1.0,-0.10845071182956395,Other,4
Chek2_04,Chek2,1.166862030169975,1.0,0.2226339867891756,Other,4
Chek2_05,Chek2,0.7809577338065364,1.0,-0.3566836244685723,Other,4
Chek2_06,Chek2,0.9807705822326561,1.0,-0.0280123881910006,Other,4
Chek2_07,Chek2,1.0186251749604542,1.0,0.02662327848570729,Other,4
Chek2_08,Chek2,0.9755278570111726,1.0,-0.035745024105290714,Other,4
Chek2_09,Chek2,0.7439568905609213,1.0,-0.4267090697582015,Other,4
Chek2_10,Chek2,0.9563500728912488,1.0,-0.06438928005358163,Other,4
Cic_01,Cic,0.9705178593736045,1.0,-0.04317333337277902,Other,4
Cic_02,Cic,1.096320208267216,1.0,0.13266923571502445,Other,4
Cic_03,Cic,0.8657236540180303,1.0,-0.2080215163584579,Other,4
Cic_04,Cic,1.0544326243776625,1.0,0.07646691345151412,Other,4
Cic_05,Cic,1.0885743340352068,1.0,0.12243992629723108,Other,4
Cic_06,Cic,0.905943275883602,1.0,-0.14250737371449662,Other,4
Cic_07,Cic,1.0159037179530397,1.0,0.02276367749015422,Other,4
Cic_08,Cic,0.9600866487849536,1.0,-0.05876347850029412,Other,4
Cic_09,Cic,1.0279680732896175,1.0,0.03979545789559582,Other,4
Cic_10,Cic,1.0781935988090898,1.0,0.10861624948614164,Other,4
Cldn18(A1)_01,Cldn18(A1),1.01338211630328,1.0,0.019178274186010376,Other,4
Cldn18(A1)_02,Cldn18(A1),1.2900151441257857,1.0,0.3673880022585486,Other,4
Cldn18(A1)_03,Cldn18(A1),1.4124915068954054,1.0,0.4982421928398834,Other,4
Cldn18(A1)_04,Cldn18(A1),1.4335585916460252,1.0,0.5196008708495942,Other,4
Cldn18(A1)_05,Cldn18(A1),0.8656000152384593,1.0,-0.20822757032470265,Other,4
Cldn18(A1)_06,Cldn18(A1),1.2554548850423854,1.0,0.3282101860804888,Other,4
Cldn18(A1)_07,Cldn18(A1),1.0830243536196775,1.0,0.11506568472952777,Other,4
Cldn18(A1)_08,Cldn18(A1),0.9418742507158281,1.0,-0.0863936358758937,Other,4
Cldn18(A1)_09,Cldn18(A1),0.9223447690482411,1.0,-0.11662196937150786,Other,4
Cldn18(A1)_10,Cldn18(A1),0.7835616565117274,1.0,-0.35188129364971316,Other,4
Cldn18(A1+A2)_01,Cldn18(A1+A2),1.031666008039315,1.0,0.04497598768570131,Other,4
Cldn18(A1+A2)_02,Cldn18(A1+A2),1.0179482389187928,1.0,0.02566420448462818,Other,4
Cldn18(A1+A2)_03,Cldn18(A1+A2),1.1248277141839145,1.0,0.16970404595189775,Other,4
Cldn18(A1+A2)_04,Cldn18(A1+A2),1.0281368332578191,1.0,0.04003228352545208,Other,4
Cldn18(A1+A2)_05,Cldn18(A1+A2),0.8821685027944894,1.0,-0.18087384394872957,Other,4
Cldn18(A1+A2)_06,Cldn18(A1+A2),0.9773790536231264,1.0,-0.033009908614474504,Other,4
Cldn18(A1+A2)_07,Cldn18(A1+A2),0.9022193856722405,1.0,-0.14844980981353867,Other,4
Cldn18(A1+A2)_08,Cldn18(A1+A2),1.0503764824188866,1.0,0.07090652024150555,Other,4
Cldn18(A1+A2)_09,Cldn18(A1+A2),0.950733611288888,1.0,-0.07288692994133873,Other,4
Cldn18(A1+A2)_10,Cldn18(A1+A2),0.8223253755755955,1.0,-0.2822187461773738,Other,4
Cldn18(A2)_01,Cldn18(A2),0.9561228218095692,1.0,-0.0647321387796084,Other,4
Cldn18(A2)_02,Cldn18(A2),0.8363714455009592,1.0,-0.25778428706960044,Other,4
Cldn18(A2)_03,Cldn18(A2),0.9995969156463967,1.0,-0.0005816450318861184,Other,4
Cldn18(A2)_04,Cldn18(A2),0.9519328770265586,1.0,-0.07106824550852127,Other,4
Cldn18(A2)_05,Cldn18(A2),0.9188358658553087,1.0,-0.12212092288887444,Other,4
Cldn18(A2)_06,Cldn18(A2),1.0595411399153039,1.0,0.08343960583137434,Other,4
Cldn18(A2)_07,Cldn18(A2),0.9854257690443787,1.0,-0.021180896033654036,Other,4
Cldn18(A2)_08,Cldn18(A2),0.8097730701341298,1.0,-0.30441042943530466,Other,4
Cldn18(A2)_09,Cldn18(A2),0.8086785531632386,1.0,-0.30636174441323605,Other,4
Cldn18(A2)_10,Cldn18(A2),1.251518832147329,1.0,0.32368000004833636,Other,4
Cldn3_01,Cldn3,1.0995497724957293,1.0,0.13691291106648765,Other,4
Cldn3_02,Cldn3,1.0632706795338571,1.0,0.08850891418852366,Other,4
Cldn3_03,Cldn3,0.9084921288478399,1.0,-0.13845407984611094,Other,4
Cldn3_04,Cldn3,1.201114480669185,1.0,0.2643736638017148,Other,4
Cldn3_05,Cldn3,1.0270216349345114,1.0,0.038466573363965265,Other,4
Cldn3_06,Cldn3,0.8751920716558458,1.0,-0.19232842603774603,Other,4
Cldn3_07,Cldn3,0.940091907270576,1.0,-0.0891262873717749,Other,4
Cldn3_08,Cldn3,0.9566845312893517,1.0,-0.0638848234418837,Other,4
Cldn3_09,Cldn3,1.1729162530894577,1.0,0.23010000776899536,Other,4
Cldn3_10,Cldn3,1.0686159571499287,1.0,0.09574346553477506,Other,4
Crbn_01,Crbn,1.1025420209220314,1.0,0.14083364192388556,Other,4
Crbn_02,Crbn,1.0215219391534751,1.0,0.030720189061868474,Other,4
Crbn_03,Crbn,1.0404728528877274,1.0,0.0572393240207005,Other,4
Crbn_04,Crbn,1.0062367253001898,1.0,0.008969750710572702,Other,4
Crbn_05,Crbn,1.0104024298864884,1.0,0.014930013736293228,Other,4
Crbn_06,Crbn,1.1671697624397208,1.0,0.22301441333131783,Other,4
Crbn_07,Crbn,1.0118754109978236,1.0,0.017031666513661156,Other,4
Crbn_08,Crbn,1.1271642919827496,1.0,0.1726978136060034,Other,4
Crbn_09,Crbn,0.865326177327494,1.0,-0.20868404801988086,Other,4
Crbn_10,Crbn,1.1486152999955896,1.0,0.19989568421491072,Other,4
Ctnnb1_01,Ctnnb1,0.8862164470023477,1.0,-0.174268993307757,Other,4
Ctnnb1_02,Ctnnb1,0.8181994289676839,1.0,-0.28947556453720125,Other,4
Ctnnb1_03,Ctnnb1,0.7013277727540459,1.0,-0.5118392346631344,Other,4
Ctnnb1_04,Ctnnb1,0.9337307563129665,1.0,-0.09892148984539387,Other,4
Ctnnb1_05,Ctnnb1,0.9834289903336553,1.0,-0.024107210143591577,Other,4
Ctnnb1_06,Ctnnb1,0.993426894193993,1.0,-0.00951429073844796,Other,4
Ctnnb1_07,Ctnnb1,1.0226151964426213,1.0,0.03226337028233059,Other,4
Ctnnb1_08,Ctnnb1,1.041853923422393,1.0,0.059153013962447924,Other,4
Ctnnb1_09,Ctnnb1,1.01348570520122,1.0,0.019325740328492824,Other,4
Ctnnb1_10,Ctnnb1,1.0459677945122907,1.0,0.06483843149623428,Other,4
EGFP_01,EGFP,0.9537833753228971,1.0,-0.0682664584627433,Other,4
EGFP_02,EGFP,1.0437240043893043,1.0,0.061740265413586334,Other,4
EGFP_03,EGFP,1.112994015764346,1.0,0.15444583576135396,Other,4
