Target_Gene,RTN_A_median,RTN_A_CI_lower,RTN_A_CI_upper,RTN_B_median,RTN_B_CI_lower,RTN_B_CI_upper,Prognostic_Effect_median,Prognostic_Effect_CI_lower,Prognostic_Effect_CI_upper,p_value,adjusted_p_value,p_value_CI_lower,p_value_CI_upper,adjusted_p_value_CI_lower,adjusted_p_value_CI_upper
Mapk3,0.0058207912930238,0.005511782081633,0.0060988550510179,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0911259473469969,0.0124344032094733,0.1584539819929622,0.09293290706709294,0.32045830023135496,0.6990473009526991,0.00448999551000449,0.7103566500494414,0.02286361350002286
Mdm2,0.0057217614630917,0.0046232890405058,0.0058377989600767,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0662727718860624,-0.2411648860388563,0.0953346416446083,0.1894918105081895,0.46217514758095,1.999998000002e-05,0.0798979201020799,7.142850000007142e-05,0.18799510612254094
Met,0.0056850086886255,0.004732768892929,0.0062558546871099,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0563021519913689,-0.1582840792373411,0.1951225552984561,0.2452047547952452,0.5198328135005198,0.007731992268007732,0.000643999356000644,0.013116936035606338,0.0066799933200066795
Mgst1,0.0058190811844605,0.0051428454207479,0.006472246484728,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0896691590034742,-0.0737737664434785,0.2441821050739396,0.09650690349309651,0.3204849254167139,0.20005979994020007,1.0999989000011e-05,0.23128300571121396,0.00023333310000023334
Mtap,0.0050575611600226,0.0046033893019593,0.0053662738887727,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.111659804407817,-0.2473879920289766,-0.0461129209014515,0.06388293611706389,0.27184228134920807,1.3999986000014e-05,0.4035775964224036,5.490190588240784e-05,0.5174071749005175
Mtor,0.0050144805417357,0.0047580758544426,0.0054138735240956,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1240127203761267,-0.1997061746242489,-0.0134232618712206,0.04086895913104087,0.19936077624897985,0.000864999135000865,0.8471471528528471,0.001988503758622678,0.8741238681441731
Muc1,0.0051985439279786,0.0047574993759128,0.0058409305092838,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0720558192567927,-0.2009143973901088,0.0961137744725535,0.2108227891772108,0.48051187903868275,0.000798999201000799,0.07839392160607839,0.00187999812000188,0.18790457400018792
Muc5ac,0.005221373461557,0.0049843091868966,0.005422136345476,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0656550964710984,-0.132690881915171,-0.0113272613119636,0.24951975048024952,0.5198328135005198,0.028420971579028422,0.8846371153628846,0.04160871751537007,0.9073201183209073
Myc,0.0048846892366518,0.0044430841325502,0.0051455743485117,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1618279411943641,-0.3205014833317265,-0.098875885944903,0.006542993457006543,0.04982063983453258,9.99999000001e-07,0.09857290142709857,6.24999375000625e-06,0.20634402442520636
Mycl,0.0053923829369789,0.0049922902667882,0.0058444449108104,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0191940305615948,-0.123522125612178,0.0967295161343028,0.7534482465517535,0.9023332294032976,0.04186195813804186,0.0769049230950769,0.05734514813430392,0.18790457400018792
Mycn,0.0052567515623045,0.0050232376315707,0.00568900798764,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0563727519295979,-0.1216846099088965,0.0565929636142253,0.3145186854813145,0.5824746468831513,0.04538895461104539,0.24408275591724407,0.06133642515006134,0.36430262077200604
NT,0.0054501901841575,0.0053747982832279,0.0055271624271976,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0037778728272397,-0.0223252291353043,0.0133833370526967,0.9792420207579793,0.9903960096039904,0.6997013002986997,0.6822553177446823,0.7103566500494414,0.7375733164807375
Nf1,0.0051466030817204,0.0043711239310616,0.0061305907325247,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0864663089806928,-0.2592563532106846,0.1730925661227784,0.142005857994142,0.4067667165209547,8.999991000009e-06,0.002108997891002109,3.74999625000375e-05,0.01360643800646522
Nf2,0.0064022588250226,0.0055578594818026,0.0069560064304157,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.2273211483138684,0.0214101018282344,0.3470264556255201,3.6999963000037e-05,0.0006727266000006727,0.5691034308965691,9.99999000001e-07,0.5897444879757193,2.857140000002857e-05
Nfe2l2,0.0057484250539725,0.0055997074521875,0.0073331482810679,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0730507754337598,0.0351624995976267,0.4532983537669486,0.1587908412091588,0.4219285254398956,0.4142965857034143,9.99999000001e-07,0.4503223757645808,2.857140000002857e-05
Nras,0.0056598591501455,0.0048311492987434,0.006517923476692,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.048447127682132,-0.1777180087956859,0.2729089641247165,0.30126269873730127,0.5824746468831513,0.002595997404002596,2.999997000003e-06,0.005140588918817022,7.4999925000075e-05
Nsd3,0.0048641783889914,0.0045758366657813,0.005701107943739,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1682666041757246,-0.2412243842965496,0.0611578710765606,0.004552995447004553,0.036423963576036424,1.999998000002e-05,0.21656178343821655,7.142850000007142e-05,0.33317197452033315
Palb2,0.0053767415115488,0.0051241956960905,0.0058005517457166,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0233879507475716,-0.1039298430210283,0.031907391066842,0.6821223178776821,0.8528153971846028,0.08402991597008402,0.44473755526244474,0.10636698224061268,0.5358283798342708
Parp1,0.0052440309066223,0.004785462632545,0.005821681097972,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0594457443453079,-0.186400578915737,0.0913513668072598,0.29376070623929373,0.5824746468831513,0.001745998254001746,0.09204690795309205,0.003754834954842464,0.20454868434020454
Parp2,0.0048950835891858,0.0043016344464133,0.0057943014404018,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1606452723191213,-0.3451995168645346,0.0845502943677302,0.006875993124006876,0.04982063983453258,9.99999000001e-07,0.11166088833911166,6.24999375000625e-06,0.21068092139455027
Pax8,0.0054190139983905,0.0048532783360494,0.0058007906953002,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0120687710063631,-0.1711248451831151,0.0861651184206815,0.8721881278118722,0.9532110686468548,0.003881996118003882,0.1060948939051061,0.007256067510287629,0.20634402442520636
Pbrm1,0.0052962160185025,0.0048171920424877,0.0059330938283186,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0452011890705435,-0.1879396540197053,0.1173693459206909,0.412987587012413,0.6568580733006568,0.00162999837000163,0.03517396482603517,0.003582414000003582,0.11532447483945958
Pcna,0.0053680124699391,0.0044855224340571,0.0057443616045112,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0258399860670482,-0.2848084190643206,0.0714720182290123,0.6473343526656473,0.8352701324718029,2.999997000003e-06,0.16576883423116576,1.3953474418618604e-05,0.27628139038527627
Pdgfra,0.0051380577370001,0.004617299849008,0.0054796167027824,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0909209254057461,-0.22556081106898,0.0073941600259794,0.12305187694812306,0.38945273554726445,0.000120999879000121,0.7828232171767828,0.00037230732000037234,0.8240244391334557
Pdgfrb,0.0051320620260592,0.0046712623011946,0.0056391315157701,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0906019157048507,-0.2262719886070884,0.0453885434852511,0.12462487537512462,0.38945273554726445,0.000110999889000111,0.3221696778303222,0.0003468746531253469,0.43832609228615266
Pik3ca,0.0050855854128988,0.0046511151474526,0.0058054990071424,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1038220096032508,-0.2325077893358607,0.0873356317703323,0.0846989153010847,0.30799605564030796,6.0999939000061e-05,0.10273689726310274,0.00020333313000020332,0.20634402442520636
Pik3cb,0.0054834444649269,0.0052208371002244,0.0058861881201844,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0048810139236072,-0.0658033017440553,0.1149738712424081,0.822959177040823,0.9405247737609406,0.2484727515272485,0.03942996057003943,0.2776231860639648,0.12132295560012132
Pik3cd,0.0051992092588434,0.0043163337107128,0.0056614533964312,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0717984341679566,-0.3402780374883903,0.0494234007769326,0.21133078866921134,0.48051187903868275,9.99999000001e-07,0.29393370606629393,6.24999375000625e-06,0.4139911353046394
Pik3cg,0.0052375274306688,0.0048134350797617,0.0056519800460729,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0612023512558696,-0.183017613965368,0.0486719259671347,0.2801027198972801,0.5658640806005658,0.002125997874002126,0.2987587012412988,0.00442916223750443,0.41494264061291497
Pik3r1,0.0054489336894121,0.0050172655479546,0.0058334596189322,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0041106354292776,-0.1240785360937353,0.0942673023546439,0.9854810145189855,0.9903960096039904,0.040801959198040805,0.08327891672108328,0.05666938777505667,0.19367189935135648
Plk1,0.0047949055253526,0.0044388972583474,0.005588762245568,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1896932811908859,-0.2876303611336037,0.0324443554904642,0.001473998526001474,0.01473998526001474,1.999998000002e-06,0.4395105604894395,1.1764694117658824e-05,0.533932799400534
Plk4,0.0055776961391525,0.0046778012652323,0.0060093728683669,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0293479271212942,-0.2242538757852174,0.1404965148384965,0.4742055257944742,0.713091016232292,0.000124999875000125,0.012122987877012123,0.0003787875000003788,0.04849195150804849
Porcn,0.0055229798036418,0.0051799465383552,0.0058206961125633,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0153076210134203,-0.0934829424817145,0.0860195587528435,0.6565963434036566,0.8417901838508417,0.11445088554911445,0.10617589382410618,0.1395742506696518,0.20634402442520636
Ppia,0.0058348938320892,0.0052746601271669,0.0060676203759957,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0946214954884521,-0.0672222409836312,0.1510463790221564,0.08222891777108222,0.30648487870030644,0.2390727609272391,0.006741993258006742,0.27013871291213454,0.028689333012794648
Ppib,0.0055547273701368,0.0053144342424584,0.0057534904260578,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0236262192174735,-0.0401683311115772,0.0829362248249808,0.5422144577855422,0.7745920825507746,0.465997534002466,0.115991884008116,0.49574205744943195,0.21479978520021478
Prdx1,0.0051599632304575,0.0046594043272019,0.0058593134300961,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0855270348468225,-0.2189525984691593,0.1006471791866677,0.14644785355214646,0.4067667165209547,0.000213999786000214,0.06601293398706601,0.0005863007835622302,0.17371824733438423
Prkdc,0.0055513484446896,0.0051193856360823,0.0061762178009227,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0227527334566274,-0.0758372289651387,0.1766391829719078,0.5531644468355532,0.7791048546979623,0.19125080874919126,0.0017249982750017249,0.22647788003099573,0.0114999885000115
Prmt5,0.0052461019080265,0.0050228130117523,0.0056970392532219,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0589794785077722,-0.1020489503655325,0.0582855734486867,0.29647870352129646,0.5824746468831513,0.08965691034308966,0.23341976658023342,0.11068754363344402,0.35100716778982466
Psmc5,0.0048579294251589,0.0035583762675511,0.005517830346307,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1705807047990631,-0.6265971891444647,-0.017354840365914,0.003995996004003996,0.0332999667000333,9.99999000001e-07,0.7828232171767828,6.24999375000625e-06,0.8240244391334557
Pten,0.0059691034923785,0.0059388498040615,0.006118683945212,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.1274296715648278,0.0983119742181539,0.1631295982919436,0.022731977268022733,0.1298970129601299,0.07233892766107233,0.003462996537003463,0.09394665930009394,0.018718900200018717
Ptk2,0.0049317098532405,0.004357349112692,0.0053991270333789,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.148666834590965,-0.3266337391446753,-0.0195800289360319,0.013193986806013193,0.08246241753758246,9.99999000001e-07,0.7462712537287463,6.24999375000625e-06,0.7981510735066805
Ptpn11,0.0053528301473084,0.004712887057839,0.0059657477367758,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0299764661657925,-0.2203376411715502,0.1116815274180103,0.588958411041589,0.7905482027403878,0.000176999823000177,0.045400954599045404,0.0005130429652179043,0.13757865030013758
Rac1,0.0047080925406528,0.0045544549776837,0.0050899560475288,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.2149532350030383,-0.2628060263876948,-0.0884608037397575,0.000300999699000301,0.0033444411000033442,4.999995000005e-06,0.13361486638513362,2.272725000002273e-05,0.23441715688719095
Raf1,0.0056204038133182,0.0051764305377898,0.0062549177318004,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0397559253154714,-0.0744825080006634,0.1949064630004128,0.3692576307423693,0.6175043824956176,0.19646880353119647,0.000667999332000668,0.22845209712929823,0.0066799933200066795
Ran,0.0029563755100463,0.0022596604245011,0.0044212204534331,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.8894293163897511,-1.274067853359361,-0.3056397738039407,9.99999000001e-07,2.4999975000025e-05,9.99999000001e-07,9.99999000001e-07,6.24999375000625e-06,2.857140000002857e-05
Rbm39,0.0053291707724692,0.0047889941443084,0.0060828510341841,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0374600018644726,-0.2385978415386128,0.1654898031720777,0.49453450546549454,0.7311492688507311,2.8999971000029e-05,0.002984997015002985,0.00010175428421062808,0.016583316750016584
Rbx1,0.0046979911330607,0.003852422414425,0.0051305153870722,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.2180623812803816,-0.5125372161321914,-0.095105514433334,0.000233999766000234,0.0029249970750029252,9.99999000001e-07,0.10901589098410902,6.24999375000625e-06,0.20764931616020765
Rela,0.0050485894464835,0.0048666805575825,0.0053895155810361,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.114204120972666,-0.1811431983765475,-0.0199288394937033,0.057916942083057914,0.25181279166546916,0.002301997698002302,0.7397882602117398,0.004603995396004604,0.7954712475395052
Rhoa,0.0043444796180628,0.0036016877653256,0.0047256794035924,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.3321585523813954,-0.6014470683445673,-0.1890685670764082,9.99999000001e-07,2.4999975000025e-05,9.99999000001e-07,0.001536998463001537,6.24999375000625e-06,0.0105999894000106
Rictor,0.0057691087425348,0.0050527576773616,0.0060872040696449,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0782629605660334,-0.1686082053480905,0.1556952856821027,0.13402986597013403,0.4067667165209547,0.004456995543004457,0.005172994827005173,0.00803062260000803,0.02299108812002299
Ripk1,0.0057568429880819,0.004837451233111,0.0060723076630692,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0751244116659536,-0.175837329018363,0.1424605544713355,0.14846985153014847,0.4067667165209547,0.002893997106002894,0.010792989207010793,0.005565379050005565,0.04405301717147263
Ripk2,0.0054126608801382,0.0044845854907062,0.0064529623614904,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0143937545074038,-0.294677202569213,0.2404112041113653,0.8321311678688321,0.9456035998509456,1.999998000002e-06,1.3999986000014e-05,1.1764694117658824e-05,0.00023333310000023334
Rock1,0.0053327667402452,0.0051136820642713,0.0055314508378176,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0352055953986168,-0.0749103517813511,0.0269513678899422,0.5208084791915208,0.7493647182611811,0.19524180475819525,0.5015504984495015,0.22835298802128098,0.5717357919005718
